image_path,true_label,mobilenet_prob,mobilenet_pred,efficientnet_prob,efficientnet_pred
C:\LJ_Diss\coding\images\test2\fake2\fake_0.jpg,0,0.4544561505317688,0,0.00373944197781384,0
C:\LJ_Diss\coding\images\test2\fake2\fake_1.jpg,0,0.5395079255104065,1,0.11634919047355652,0
C:\LJ_Diss\coding\images\test2\fake2\fake_10.jpg,0,0.4594307541847229,0,0.008767246268689632,0
C:\LJ_Diss\coding\images\test2\fake2\fake_100.jpg,0,0.006275329738855362,0,0.005529319867491722,0
C:\LJ_Diss\coding\images\test2\fake2\fake_101.jpg,0,0.9810457229614258,1,0.9920027852058411,1
C:\LJ_Diss\coding\images\test2\fake2\fake_102.jpg,0,0.9936451315879822,1,0.9720094799995422,1
C:\LJ_Diss\coding\images\test2\fake2\fake_103.jpg,0,0.0067022088915109634,0,0.031923551112413406,0
C:\LJ_Diss\coding\images\test2\fake2\fake_104.jpg,0,0.07094740867614746,0,0.1495847851037979,0
C:\LJ_Diss\coding\images\test2\fake2\fake_105.jpg,0,0.6396076679229736,1,0.5601521730422974,1
C:\LJ_Diss\coding\images\test2\fake2\fake_106.jpg,0,0.9831905961036682,1,0.9961041808128357,1
C:\LJ_Diss\coding\images\test2\fake2\fake_107.jpg,0,0.08838757872581482,0,0.022184668108820915,0
C:\LJ_Diss\coding\images\test2\fake2\fake_108.jpg,0,0.038787536323070526,0,0.005238702520728111,0
C:\LJ_Diss\coding\images\test2\fake2\fake_109.jpg,0,0.05050254240632057,0,0.06843861192464828,0
C:\LJ_Diss\coding\images\test2\fake2\fake_11.jpg,0,0.0020841029472649097,0,0.0011557660764083266,0
C:\LJ_Diss\coding\images\test2\fake2\fake_110.jpg,0,0.1560678780078888,0,0.024508656933903694,0
C:\LJ_Diss\coding\images\test2\fake2\fake_111.jpg,0,0.8449093103408813,1,0.2090378701686859,0
C:\LJ_Diss\coding\images\test2\fake2\fake_112.jpg,0,0.14359642565250397,0,0.04974266514182091,0
C:\LJ_Diss\coding\images\test2\fake2\fake_113.jpg,0,0.2626916468143463,0,0.6703504323959351,1
C:\LJ_Diss\coding\images\test2\fake2\fake_114.jpg,0,0.04059893637895584,0,0.09954638034105301,0
C:\LJ_Diss\coding\images\test2\fake2\fake_115.jpg,0,0.069339819252491,0,0.04620690271258354,0
C:\LJ_Diss\coding\images\test2\fake2\fake_116.jpg,0,0.8721381425857544,1,0.752265214920044,1
C:\LJ_Diss\coding\images\test2\fake2\fake_117.jpg,0,0.7963119149208069,1,0.5364265441894531,1
C:\LJ_Diss\coding\images\test2\fake2\fake_118.jpg,0,0.018265265971422195,0,0.0023340119514614344,0
C:\LJ_Diss\coding\images\test2\fake2\fake_119.jpg,0,0.048803240060806274,0,0.002085499931126833,0
C:\LJ_Diss\coding\images\test2\fake2\fake_12.jpg,0,0.17125838994979858,0,0.0924268364906311,0
C:\LJ_Diss\coding\images\test2\fake2\fake_120.jpg,0,0.030192693695425987,0,0.6020839810371399,1
C:\LJ_Diss\coding\images\test2\fake2\fake_121.jpg,0,0.11564092338085175,0,0.26041191816329956,0
C:\LJ_Diss\coding\images\test2\fake2\fake_122.jpg,0,0.5041418671607971,1,0.8249271512031555,1
C:\LJ_Diss\coding\images\test2\fake2\fake_123.jpg,0,0.3404156267642975,0,0.864470362663269,1
C:\LJ_Diss\coding\images\test2\fake2\fake_124.jpg,0,0.02117121033370495,0,0.0011258298764005303,0
C:\LJ_Diss\coding\images\test2\fake2\fake_125.jpg,0,0.0036118377465754747,0,0.04808107018470764,0
C:\LJ_Diss\coding\images\test2\fake2\fake_126.jpg,0,0.5340200066566467,1,0.5322250127792358,1
C:\LJ_Diss\coding\images\test2\fake2\fake_127.jpg,0,0.9579480290412903,1,0.04654167965054512,0
C:\LJ_Diss\coding\images\test2\fake2\fake_128.jpg,0,0.4359619617462158,0,0.0005655138520523906,0
C:\LJ_Diss\coding\images\test2\fake2\fake_129.jpg,0,0.06323163956403732,0,0.008734540082514286,0
C:\LJ_Diss\coding\images\test2\fake2\fake_13.jpg,0,0.21802350878715515,0,0.030184555798768997,0
C:\LJ_Diss\coding\images\test2\fake2\fake_130.jpg,0,0.026228787377476692,0,0.05239909887313843,0
C:\LJ_Diss\coding\images\test2\fake2\fake_131.jpg,0,0.17819087207317352,0,0.13396517932415009,0
C:\LJ_Diss\coding\images\test2\fake2\fake_132.jpg,0,0.34692683815956116,0,0.27298012375831604,0
C:\LJ_Diss\coding\images\test2\fake2\fake_133.jpg,0,0.08560103178024292,0,0.022275032475590706,0
C:\LJ_Diss\coding\images\test2\fake2\fake_134.jpg,0,0.17566491663455963,0,0.01728934794664383,0
C:\LJ_Diss\coding\images\test2\fake2\fake_135.jpg,0,0.4454770088195801,0,0.13241875171661377,0
C:\LJ_Diss\coding\images\test2\fake2\fake_136.jpg,0,0.07947254925966263,0,0.02444177120923996,0
C:\LJ_Diss\coding\images\test2\fake2\fake_137.jpg,0,0.6852594017982483,1,0.8717798590660095,1
C:\LJ_Diss\coding\images\test2\fake2\fake_138.jpg,0,0.01425106730312109,0,0.0011132201179862022,0
C:\LJ_Diss\coding\images\test2\fake2\fake_139.jpg,0,0.20417754352092743,0,0.013439206406474113,0
C:\LJ_Diss\coding\images\test2\fake2\fake_14.jpg,0,0.5589126944541931,1,0.14799413084983826,0
C:\LJ_Diss\coding\images\test2\fake2\fake_140.jpg,0,0.7651999592781067,1,0.012483032420277596,0
